date,open,high,low,close,volume
02/01/1962,1.509,1.509,1.4921,1.4921,3991
03/01/1962,1.4922,1.5052,1.4922,1.5052,2993
04/01/1962,1.5052,1.5052,1.4895,1.4902,2686
05/01/1962,1.4882,1.4882,1.4582,1.4608,3760
08/01/1962,1.4595,1.4595,1.4217,1.4334,5602
09/01/1962,1.44,1.4687,1.44,1.4504,5065
10/01/1962,1.453,1.4595,1.453,1.453,3070
11/01/1962,1.4569,1.4686,1.4569,1.4686,3300
12/01/1962,1.4712,1.4816,1.4712,1.4712,4528
15/01/1962,1.4765,1.4811,1.4765,1.4778,2609
16/01/1962,1.4764,1.4764,1.4621,1.4621,2609
17/01/1962,1.4555,1.4555,1.4347,1.4386,4297
18/01/1962,1.4426,1.4569,1.4426,1.4426,3837
19/01/1962,1.4425,1.4464,1.4269,1.4438,4144
22/01/1962,1.4438,1.4582,1.4399,1.4412,2839
23/01/1962,1.4406,1.4426,1.4243,1.4269,3837
24/01/1962,1.4269,1.4347,1.4197,1.4347,4221
25/01/1962,1.4347,1.4465,1.4165,1.4191,3300
26/01/1962,1.4191,1.4243,1.4112,1.4119,2532
29/01/1962,1.4119,1.4217,1.3878,1.3878,5986
30/01/1962,1.3877,1.3955,1.3701,1.3701,7597
31/01/1962,1.3839,1.4139,1.3839,1.4139,7828
01/02/1962,1.4282,1.4504,1.4282,1.4465,6600
02/02/1962,1.4465,1.4556,1.4399,1.4556,5218
05/02/1962,1.4556,1.4556,1.4295,1.4373,3223
06/02/1962,1.4373,1.4399,1.4321,1.4386,2686
07/02/1962,1.4399,1.4477,1.4399,1.4399,2609
08/02/1962,1.4399,1.4477,1.4399,1.4412,230
09/02/1962,1.4413,1.4517,1.4347,1.4517,4451
12/02/1962,1.4517,1.4634,1.4504,1.453,2916
13/02/1962,1.453,1.4543,1.4295,1.4295,2686
14/02/1962,1.4295,1.4347,1.4243,1.4269,2149
15/02/1962,1.4269,1.4269,1.4204,1.4217,2379
16/02/1962,1.4217,1.4269,1.4204,1.4204,2302
19/02/1962,1.4203,1.4269,1.4034,1.406,2916
20/02/1962,1.4067,1.4139,1.4067,1.4067,2993
21/02/1962,1.4066,1.4164,1.3962,1.3962,3760
23/02/1962,1.3982,1.4034,1.3982,1.4008,2993
26/02/1962,1.4008,1.4021,1.393,1.3956,3070
27/02/1962,1.3956,1.4073,1.3878,1.3982,3607
28/02/1962,1.3982,1.4008,1.3904,1.4008,2763
01/03/1962,1.4061,1.4178,1.4061,1.4178,2916
02/03/1962,1.4295,1.4373,1.4295,1.4295,2532
05/03/1962,1.4295,1.4295,1.4191,1.4243,3684
06/03/1962,1.4243,1.4308,1.4217,1.4256,1919
07/03/1962,1.4255,1.4301,1.4216,1.4301,1305
08/03/1962,1.4301,1.4334,1.4217,1.4334,1919
09/03/1962,1.4348,1.4426,1.4348,1.4426,2993
12/03/1962,1.4425,1.4464,1.4373,1.4412,2916
13/03/1962,1.4412,1.4412,1.4347,1.4399,1305
14/03/1962,1.4399,1.4438,1.4347,1.4373,2072
15/03/1962,1.4373,1.4451,1.4347,1.4347,2532
16/03/1962,1.4347,1.4412,1.4347,1.4412,1688
19/03/1962,1.4438,1.4503,1.4438,1.4451,3837
20/03/1962,1.4425,1.4425,1.436,1.436,1688
21/03/1962,1.436,1.4399,1.4321,1.4373,2686
22/03/1962,1.4321,1.4321,1.4217,1.4217,2456
23/03/1962,1.423,1.4295,1.423,1.4269,1919
26/03/1962,1.4269,1.4321,1.4242,1.4262,1381
